"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","77/3424","163/9397",0.47239263803681,1.29645841694857,2.89071167826941,0.00279832310982152,0.0278938966701353,0.0185310583065665,"5602/7099/7097/3265/1386/9586/6554/5608/5290/673/23118/7046/3717/6654/355/7042/10000/5599/1147/6655/7189/8900/5291/6885/1432/317/3454/4790/4775/4214/4893/2033/5594/9134/4089/7048/353376/29110/6416/114609/1385/843/64764/890/51135/3665/1654/3845/10488/1387/572/6772/5579/3661/9641/841/5601/23586/5578/5605/3456/7534/84699/581/1960/5894/596/57506/2353/4615/5925/1959/6777/5600/3716/5295/1871",77
"Environmental Information Processing","Membrane transport","hsa02010","ABC transporters","26/3424","45/9397",0.577777777777778,1.58568276220145,2.98166312667191,0.00281350542782345,0.0278938966701353,0.0185310583065665,"154664/85320/23460/10350/10349/8647/19/1672/1244/64241/10351/23461/26154/8714/94160/10257/5244/6891/1080/5825/9619/368/24/340273/225/22",26
"Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","137/3424","311/9397",0.440514469453376,1.20897034738708,2.83740034779298,0.00298657767609676,0.0281337165070258,0.0186903804490782,"5602/56171/6506/2877/127602/5683/4713/6507/513/2893/1770/6667/9586/1213/3766/3708/55102/627/54539/5289/5441/2776/201625/9821/548644/3799/4217/1329/293/4716/1351/2904/8701/196385/5599/1212/60673/1769/51164/9377/5468/55567/7186/4702/10891/317/774/1537/5332/5706/10383/5438/4728/29796/4701/2033/2892/4726/4704/30849/23236/23186/84617/5978/1768/6647/4723/5434/25942/1385/112714/64764/11047/6389/246721/5437/8218/4706/347733/7384/113457/3064/5687/3092/9861/5694/5435/10488/3800/4719/25981/1387/2878/8632/4729/2475/5431/10975/1175/1211/27089/841/5601/5718/3066/163/260334/84699/5714/581/516/2890/125965/55062/3798/11258/2876/6875/27113/2891/4708/374291/5688/10671/2081/5702/81027/22863/4696/4700/4695/5707/147700/10120/83544/5705/7019",137
"Organismal Systems","Endocrine system","hsa04929","GnRH secretion","35/3424","65/9397",0.538461538461538,1.47778127246585,2.92644630970036,0.00302173746749657,0.0281337165070258,0.0186903804490782,"776/7224/3709/3765/3265/3708/5290/2776/2100/10000/84634/5291/5332/3763/4893/2796/5594/23236/3845/7220/5579/775/2852/5578/2767/5605/8912/5894/3767/3783/6696/3762/3781/5295/779",35
"Genetic Information Processing","Replication and repair","hsa03440","Homologous recombination","24/3424","41/9397",0.585365853658537,1.60650786414406,2.9466284852676,0.00319790413360466,0.0281337165070258,0.0186903804490782,"83990/472/672/675/11073/8438/50511/580/146956/5424/4361/29935/4683/7516/5932/79728/5890/10714/641/29086/80198/5425/5893/7156",24
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","105/3424","232/9397",0.452586206896552,1.242100638495,2.82693496396375,0.00320380256697757,0.0281337165070258,0.0186903804490782,"7273/4703/2335/1466/9499/442721/287/1756/131873/23500/255631/1824/3685/2200/10529/2201/1462/3673/23345/27295/829/56203/3680/8910/288/3696/1284/8082/1730/29767/11155/58/4811/23224/7057/1286/7134/8572/3908/22801/1293/1837/7431/272/1285/4629/1282/830/72/6383/1287/7058/129446/4001/6645/480/161176/4620/10611/1297/57159/6711/81624/825/114793/51778/4604/7414/6712/70/83660/7060/1829/1288/85301/4628/25802/22989/56776/29766/3672/7138/1299/91010/6640/343263/3930/3688/64423/4000/1158/127294/23439/6641/7168/4619/3676/2318/8048/7094/6444/5318/23002/137868/29765",105
"Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","38/3424","72/9397",0.527777777777778,1.44846021547248,2.89206382987651,0.00326533170438019,0.0281337165070258,0.0186903804490782,"5602/56832/10010/5599/1147/7189/9636/8717/7186/6885/1432/4790/4214/7706/29110/843/1540/3665/1654/54941/80143/64343/9140/26007/3661/103/57169/9641/841/5601/23586/3456/5300/8737/57506/79132/5600/340061",38
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","157/3424","362/9397",0.433701657458564,1.19027291914081,2.79517699058319,0.00332415670544108,0.0281337165070258,0.0186903804490782,"3912/5523/2335/3082/7099/9180/56034/3381/7010/7097/131873/3371/5294/3265/4233/1386/59345/9586/3685/1440/3643/284/4193/3673/627/2261/3570/5290/3918/5618/285/3680/2932/3696/1284/3455/3717/672/6654/4915/55970/894/5728/10000/7057/1286/1147/3908/22801/1293/1021/6655/3480/2321/5291/1285/4902/64223/3454/1282/2322/4790/1287/7058/5562/7532/8074/4893/2252/5594/9134/2247/5519/4804/2787/1978/1297/5156/6446/7422/7143/4515/1385/5586/11140/5585/64764/7060/1288/23678/5518/5515/1902/3574/23035/1436/9623/3672/3845/23239/10488/1299/6198/9223/7248/5747/4170/1977/572/5520/5934/5516/10110/3915/29941/2475/3688/1441/5527/1945/6850/3563/2255/5578/5605/5617/4602/2309/55012/3456/7534/84699/22798/7448/5170/4254/1975/7423/8822/5894/3910/118788/3676/5529/596/6696/1942/94235/2786/8817/3716/5295/2056/54331/1019/2792/5649",157
"Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","37/3424","70/9397",0.528571428571429,1.45063835113485,2.86515621352822,0.00355348863516564,0.0293585846762495,0.0195041105539167,"998/9915/2549/3082/3265/4233/5290/673/6654/7042/10000/6655/405/5291/4893/2033/3091/5594/8453/7422/3845/1399/5781/1387/5058/572/112398/5062/6923/5908/2034/1398/5605/5894/5906/112399/5295",37
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","52/3424","105/9397",0.495238095238095,1.35915665331553,2.80198683038429,0.00392372356662203,0.0316635366887871,0.0210353846044119,"7099/3554/55367/23118/472/8792/8915/1147/1459/7189/8717/10912/257397/7186/6885/329/4790/10892/331/7706/6357/353376/114609/1540/23085/8837/51135/3932/1457/695/5336/10673/9560/5579/29760/3553/6850/23586/597/1460/7535/23643/8737/5328/6363/5743/596/4615/4049/4055/2919/4050",52
"Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","54/3424","110/9397",0.490909090909091,1.347275913339,2.77380167880573,0.00421726377767459,0.0332588757012064,0.022095233667721,"6667/2200/3624/2331/2615/4087/7046/6093/9765/151449/659/7042/7057/26585/6498/92/4091/2033/5594/5519/4093/7044/6497/4089/1030/7048/130399/9611/64750/4681/6500/3625/25942/4090/1875/5518/5515/5933/91/658/93/6198/10468/1387/5516/4838/3066/268/5308/25805/23592/148738/7037/4086",54
"Environmental Information Processing","Signal transduction","hsa04152","AMPK signaling pathway","59/3424","122/9397",0.483606557377049,1.32723446836219,2.75438169526634,0.004375659506606,0.0337411966398285,0.0224156592268237,"5523/9586/3643/5290/23417/3952/92335/5211/10000/2308/3156/51719/8900/3480/3953/5468/5291/6885/10891/5562/948/31/5519/1978/5208/5210/1385/64764/5518/5515/890/5207/10488/6198/6319/7248/5520/5516/8660/2475/5527/5565/5571/1080/10645/2309/55012/84699/5170/51552/9370/5529/126129/3991/5209/5214/81617/5295/23216",59
"Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","41/3424","80/9397",0.5125,1.40653110397196,2.76466713451575,0.0046034576496608,0.03472608270505,0.0230699593884603,"2549/4763/3082/56034/3265/4233/2261/3570/5290/673/2932/3717/6654/5728/10000/6655/3480/5291/4893/5594/2247/1978/25759/5156/7422/9542/3845/6198/1977/572/5336/5579/2475/5578/5605/2309/581/5894/596/3716/5295",41
