"Pathway","Adjusted_Pvalue","Genes"
"stress fiber",0.0107089178356713,"NEBL"
"contractile actin filament bundle",0.0107089178356713,"NEBL"
"actomyosin",0.0107089178356713,"NEBL"
"actin filament bundle",0.0107089178356713,"NEBL"
"Z disc",0.0111222444889779,"NEBL"
"I band",0.0111222444889779,"NEBL"
"sarcomere",0.0126753507014026,"NEBL"
"myofibril",0.0126753507014026,"NEBL"
"contractile muscle fiber",0.0126753507014026,"NEBL"
