"Pathway","Adjusted_Pvalue","Genes"
"tropomyosin binding",0.00200138762875557,"NEBL"
"filamin binding",0.00200138762875557,"NEBL"
"structural constituent of muscle",0.00373592357367762,"NEBL"
"actin filament binding",0.01407642632225,"NEBL"
"actin binding",0.0235363185141696,"NEBL"
