"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Carbohydrate metabolism","hsa00020","Citrate cycle (TCA cycle)","19/3371","30/9397",0.633333333333333,1.7654800751508,3.14072979631085,0.00199032423697475,0.0153033819109614,0.011872109483709,"8803/5162/6392/3418/1737/48/4190/1738/6390/6389/3417/50/5160/4191/8802/2271/47/8801/3419",19
"Metabolism","Glycan biosynthesis and metabolism","hsa00513","Various types of N-glycan biosynthesis","25/3371","43/9397",0.581395348837209,1.62069774340648,3.05106899151512,0.00234852922164931,0.0176650241454492,0.013704232300242,"4247/56052/25834/3703/85365/6184/1603/6185/10195/746/201595/284004/2530/84061/58505/57134/6487/1650/199857/79087/8703/4245/11320/10905/4121",25
"Metabolism","Amino acid metabolism","hsa00270","Cysteine and methionine metabolism","29/3371","52/9397",0.557692307692308,1.55462314309837,2.99948243670903,0.00260304899787301,0.0188227965116107,0.014602412870279,"6723/2806/27430/2805/2730/3939/29968/3945/4190/56267/1491/26227/58478/2937/259307/4191/84245/586/10768/23382/587/6898/64902/4144/4507/2729/262/51074/160287",29
"Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","37/3371","70/9397",0.528571428571429,1.47344577700555,2.97361401790603,0.00261125500739108,0.0188227965116107,0.014602412870279,"572/54583/9978/5155/6513/3265/56924/8453/9915/5604/8503/5290/405/1399/2271/5291/5594/5063/6654/5605/6655/6921/6923/5546/1398/5908/4233/2549/5295/3845/10298/998/7042/10000/673/5781/112399",37
"Cellular Processes","Transport and catabolism","hsa04137","Mitophagy - animal","52/3371","105/9397",0.495238095238095,1.38052577305025,2.93265140292146,0.00269920132375368,0.0190596664901791,0.0147861726650309,"84315/7186/1965/5071/11345/10651/79594/8878/139341/3265/8887/6237/664/25813/4976/89941/5602/22800/5601/55288/4077/79671/29110/9101/81631/65018/5869/79065/55669/7415/64750/64786/54708/192111/10133/23786/267/9958/7879/8678/3845/10452/55626/665/9868/1457/79735/6477/22879/10241/9451/84749",52
"Metabolism","Global and overview maps","hsa01212","Fatty acid metabolism","31/3371","57/9397",0.543859649122807,1.51606322242866,2.92282771152765,0.00318750698132109,0.0220575483107419,0.0171118795839343,"9524/51495/35/1376/54995/1962/6785/1892/34/39/7923/8310/79966/38/10449/51703/27349/201562/2181/36/6342/3295/51144/51102/84869/3033/9374/126129/2182/3032/197322",31
"Metabolism","Carbohydrate metabolism","hsa00562","Inositol phosphate metabolism","38/3371","73/9397",0.520547945205479,1.45107951382257,2.89367477180925,0.00327292201642907,0.0222045297585188,0.0172259053496267,"9562/5333/4329/3706/51477/8898/3612/10423/5294/80271/55613/64768/55300/5289/22908/4534/5290/23396/7167/56623/5291/9896/9107/51196/5286/5332/79837/23236/5305/113026/23007/3633/51763/9110/3631/200576/3635/9108",38
"Genetic Information Processing","Folding, sorting and degradation","hsa03060","Protein export","19/3371","31/9397",0.612903225806452,1.70852910498464,2.95527419595103,0.0034250381710492,0.022789677061212,0.0176798529072378,"7485/8266/58477/28972/83943/6730/6729/6726/7095/6449/6728/9789/6727/29100/439/6734/10952/196294/6731",19
"Genetic Information Processing","Transcription","hsa03022","Basal transcription factors","25/3371","44/9397",0.568181818181818,1.58386370378361,2.9033451350662,0.0036047052578073,0.0235326041358741,0.0182562033910797,"2960/51616/2961/9519/2965/902/2958/4331/2963/6873/6875/6908/83860/6883/2071/2969/6878/6879/6880/2966/2967/404672/2957/1022/6877",25
"Metabolism","Metabolism of terpenoids and polyketides","hsa00900","Terpenoid backbone biosynthesis","15/3371","23/9397",0.652173913043478,1.8180000773864,2.9375894838971,0.00395294754600443,0.0253281453873617,0.0196491544684431,"9453/51449/39/2339/10269/38/2342/9986/3156/23463/57107/4597/3422/79947/23590",15
"Genetic Information Processing","Translation","hsa00970","Aminoacyl-tRNA biosynthesis","34/3371","66/9397",0.515151515151515,1.43603642476381,2.65868545547643,0.0064786777573543,0.0407567728008107,0.0316184273325425,"25973/2193/55157/79731/1615/51067/123263/10352/55699/57038/6897/16/5188/80222/10056/23395/2058/124454/5917/4677/6301/3376/2617/55278/51520/123283/8565/833/283459/10667/57505/23438/3735/92935",34
"Metabolism","Metabolism of cofactors and vitamins","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis","9/3371","12/9397",0.75,2.09070008899436,2.82758161861456,0.00673679863619661,0.0416237915736434,0.0322910460945514,"79001/84274/51805/10229/154807/6898/27235/2677/1728",9
"Metabolism","Global and overview maps","hsa01250","Biosynthesis of nucleotide sugars","21/3371","37/9397",0.567567567567568,1.58215141869844,2.65359850892375,0.00753035167863523,0.0457105558036454,0.0354614898993903,"7358/9945/2584/55907/23483/8790/2645/6675/2585/5236/7264/80146/7360/29925/2673/5238/4351/55276/3098/2592/64841",21
"Cellular Processes","Cell growth and death","hsa04114","Oocyte meiosis","64/3371","139/9397",0.460431654676259,1.28349933520997,2.51847227013794,0.00824467507264235,0.0491837512954182,0.0381559372690345,"10393/51529/5567/5518/10971/25847/6790/8697/9978/7533/805/5527/5519/5241/64506/10459/26271/8945/7534/4085/891/8454/5500/3709/5499/5533/5604/9748/996/6197/64682/5529/6196/5594/9126/815/23291/22849/51434/699/7531/5528/29945/8243/9088/8881/10744/1017/102723849/51433/5525/5535/27127/119504/113/108/5501/3708/27330/246184/107/1432/7529/387778",64
